Artist,Title,Lyrics
FFDP,Hate_Me,"   It's not enough It's not enough It never was or will be I never had the chance to thank you (For ripping out my heart)  It's not enough It's not enough It never was or will be I never got the chance to say (Fuck you)  I don't want to be your tourniquet For minor lacerations Don't wanna be your Romeo Because you're no goddamn Juliet (You always did know just what to say; insult and injury) (You just love to hate me!)  It's not enough It's not enough It never was or will be I never had the chance to thank you (For ripping out my heart)  It's not enough It's not enough It never was or will be I never got the chance to say (Fuck you)  You've got a gun I've got a gun Let's write a tragic ending Don't wanna be this way again Don't wanna be the one to blame (You can have the high roads; I'll take the lows, disguise the frailty) (I just love to hate you!)  It's not enough It's not enough It never was or will be I never had the chance to thank you (For ripping out my heart)  It's not enough It's not enough It never was or will be I never got the chance to say (Fuck you)  (You just love to hate me!) It's not enough It's not enough It never was or will be I never had the chance to thank you (For ripping out my heart)  It's not enough It's not enough It never was or will be I never got the chance to say (Fuck you) "
FFDP,Stranger_Than_Fiction,"   It's stranger than fiction How you've decayed It must be so lonely Lost within your ways  You're born alone, you die alone The rest is yours to fill the gap The world goes on without you here Adjust or just collapse  Is this what you wanted to be Alone standing by yourself Is this all you wanted to be Or was that a cry for help By yourself, by yourself, by yourself  Verbal grenades You throw in vain I can't believe you'd stoop so low Of all the things you took away I miss my mind the most  Is this what you wanted to be Alone standing by yourself Is this all you wanted to be Or was that a cry for help  By yourself By yourself By yourself  Is this what you wanted to be Alone standing by yourself Is this all you wanted to be Or was that a cry for help!  Is this what you wanted to be Alone standing by yourself Is this all you wanted to be Or was that a cry for help!  It's stranger than fiction How you've decayed It must be so lonely Lost within your ways "
FFDP,Never_Enough,"   I'm so fed up with everyone around me No one seems to care I'm just so far gone and nothing's gonna change I'll never be the same  It's always ""Do this,"" ""Do that,"" everything they want to I don't want to live that way (No!) Every chance they get, they're always pushing me away  It's never enough; no, it's never enough No matter what I say It's never enough; no, it's never enough I'll never be what you want me to be  It's all so messed up and no one ever listens Everyone's deranged I'm just so fucked up and I'm never gonna change I wanna lay it all to waste  They're always ""Say this,"" ""Say that,"" nothing that you want to I don't want to live that way (No!) Every chance they get, they're always shoving me aside  It's never enough; no, it's never enough No matter what I say It's never enough; no, it's never enough I'll never be what you want me to be I'm done!  In the end, we're all just chalk lines on the concrete Drawn only to be washed away For the time that I've been given I am what I am  I'd rather hate you for everything you are Than ever love you for something you are not I'd rather you hate me for everything I am Than have you love me for something that I can't  It's never enough, it's never enough No matter what I say It's never enough; no, it's never enough No matter who I try to be It's never enough; no, it's never enough No matter how I try to taste It's never enough, never, never enough I'll never be what you want me to be "
FFDP,From_Out_Of_Nowhere,"   Tossed into my mind, stirring the calm You splash me with beauty and then you pull me down Because you came from out of nowhere My glance turns to a stare Obsession rules me, I'm yours from the start I know that you see me, our eyes interlock  Because you came from out of nowhere My glance turns to a stare One minute here and one minute there Don't know if I'll laugh or cry One minute here and one minute there And then you wave goodbye Goodbye  Sifting to the bottom, every day for two Energy funnels, all becomes you Because you came from out of nowhere My glance turns to a stare  One minute here and one minute there Don't know if I'll laugh or cry One minute here and one minute there And then you wave goodbye  One minute here and one minute there And then I'll wave goodbye Goodbye! "
FFDP,Dying_Breed,"   Round one! I swear to God I'd do it for fun Just a dead man walkin' With a double-barrel shotgun Ain't a single fucker left to fear See their lips movin' But I don't wanna hear  Showdown! (I ain't backin' down from anybody) Throw-down! (If I don't get some space) Lay down? (Not in this life or another) It's a nightmare! (And it's not goin' away)  All I wanted was your honesty Something more than this Something more than me (More than me) Death can take me if I can't be free I'm not like you I'm a dying breed  Round two! Something you just don't wanna do Go dancin' with the devil Unless you're wearing my shoes You got nerve, yeah, I'll give ya that Watch the world crumble While you sit on your ass?  Wake up! (Get your head together, motherfucker) Straight up! (Before it's too late) Stand up! (Nothing ever lasts forever) Corrupt! (And that's how it's gonna stay)  All I wanted was your honesty Something more than this Something more than me (More than me) Death can take me if I can't be free I'm not like you I'm a dying breed  Rah!  All I wanted was your honesty (Honesty) Something more than this (More than this) Something more than me (More than me) Death can take me if I can't be free (Can't be free) I'm not like you (Not like you) I'm a dying breed  Yeah "
FFDP,Hard_To_See,"   I'm growing so distant Nothing makes sense to me anymore I'm learning to resist Becoming more than you ever were  Can't explain, What's come over me (come over me) Can't explain, Why it's so hard for me, so hard to see your side  Projecting all my anger I can't seem to get this through to you The walls are closing in I dare you to walk in my shoes  Can't explain, What's come over me (come over me) Can't explain, Why it's so hard for me, so hard to see your side  Your side I won't see your side  Can't explain, What's come over me (come over me) Can't explain, Why it's so hard for me, so hard to see your   Can't explain, What's come over me (come over me) Can't explain, Why it's so hard for me, so hard to see your side  I won't see your Your side "
FFDP,Bulletproof,"   You can take money You can take the ride You can take it all but never get inside You can't take my honor You can't take my soul You can't take the fact you'll never have control  You won't break me No matter how hard you try You can't shake me down I'm fucking bulletproof  All I've learned, it's like poison All I've known, inside my veins All I've seen, it's like venom All I know, it's all that remains  You can keep the fortune You can have the fame You can have the shit you never will obtain You can't take my virtue You can't take my pride You can't take the anger building up inside  You won't break me No matter how hard you try You can't shake me down I'm fucking bulletproof  All I've learned, it's like poison All I've known, inside my veins All I've seen, it's like venom All I know, it's all that remains  You won't break me No matter how hard you try You can't shake me down I'm fucking bulletproof  All I've learned, it's like poison All I've known, inside my veins All I've seen, it's like venom All I know, it's all that remains  All I've learned, it's like poison All I've known, inside my veins All I've seen, it's like venom All I know, it's all that remains "
FFDP,No_One_Gets_Left_Behind,"   No one gets left behind; another fallen soul No one gets left behind; another broken home No one gets left behind; we stand and fight together No one gets left behind; or we all die alone  Politicians bathing in their greed No idea on how to be all they can be  Have you no honor? Have you no soul? What is it they're dying for? Do you really even know? Have you no backbone? Have you no spine? What ever happened to ""No one gets left behind""?  No one gets left behind; I know you made it up No one gets left behind; it's war for money No one gets left behind; drink from the golden cup No one gets left behind; your time is coming  Play your war games with other people's lives It should be you on the frontline  Have you no honor? Have you no soul? What is it they're dying for? Do you really even know? Have you no backbone? Have you no spine? What ever happened to ""No one gets left behind""?  Hoorah! Hut! Hut! Hoorah!  Have you no honor? Have you no soul? What is it they're dying for? Do you really even know? Have you no backbone? Have you no spine? What ever happened to ""No one gets left behind""?  No one gets left behind No one gets left behind No one gets left behind No one gets left behind  No one gets left behind "
FFDP,Crossing_Over,"   Perched alone, he sits there broken An elder man with storm clouds setting in his eyes He counts the sands of time, remembering days gone by It's seemed like yesterday before it washed away  Hey, don't wait for me there Just find your own way Hey, don't wait for me there 'Cause I'll be there soon enough  A widow's life ticks out like clockwork A thousand tears she's cried a hundred times before But now that he is gone, she's ready to move on It all just fell away, it seems like yesterday  Hey, don't wait for me there Just find your own way Hey, don't wait for me there 'Cause I'll be there soon enough I'll be there soon enough  Hey, don't wait for me there Just find your own way Hey, don't wait for me there 'Cause I'll be there soon enough "
FFDP,Burn_It_Down,   You think you know me? You don't know shit I've seen the world through your eyes And it makes me sick I've questioned all of your answers They're fucking lies I won't conform to your system I'd rather die  I'll burn it down just to watch it go I'll burn it down so everybody knows I'll burn it down just to see it torched Burn it downâI hate it to the core  Think you're a martyr Not hard to see You want to rule the fucking world You got to get through me Your iron fist will be broken No soul to sell You think I'll burn for my actions? See you in hell  Burn it downâI do it for myself Burn it downâfor me and no one else I burn it down just to watch it fall Burn it downâI hate you fucking all  I'll burn it down just to watch it go I'll burn it down so everybody knows I burn it down just to see it torched I burn it downâI hate it to the core 
